task,K,N,method,evaluation_examples,correct_seed_42,correct_seed_43,correct_seed_44,accuracy_seed_42_percent,accuracy_seed_43_percent,accuracy_seed_44_percent,mean_percent,sample_sd_pp,band_lower_percent,band_upper_percent
countdown,10,25,RandOpt,500,137,167,146,27.400000,33.400000,29.200000,30.000000,3.078961,26.921039,33.078961
countdown,10,50,RandOpt,500,148,170,151,29.600000,34.000000,30.200000,31.266667,2.386071,28.880596,33.652737
countdown,10,100,RandOpt,500,167,167,158,33.400000,33.400000,31.600000,32.800000,1.039230,31.760770,33.839230
countdown,10,200,RandOpt,500,174,166,162,34.800000,33.200000,32.400000,33.466667,1.222020,32.244646,34.688687
countdown,10,300,RandOpt,500,173,166,161,34.600000,33.200000,32.200000,33.333333,1.205543,32.127791,34.538876
countdown,10,25,Modular Norm RandOpt,500,161,171,162,32.200000,34.200000,32.400000,32.933333,1.101514,31.831819,34.034847
countdown,10,50,Modular Norm RandOpt,500,157,175,158,31.400000,35.000000,31.600000,32.666667,2.023199,30.643468,34.689865
countdown,10,100,Modular Norm RandOpt,500,171,187,165,34.200000,37.400000,33.000000,34.866667,2.274496,32.592170,37.141163
countdown,10,200,Modular Norm RandOpt,500,184,176,194,36.800000,35.200000,38.800000,36.933333,1.803700,35.129633,38.737033
countdown,10,300,Modular Norm RandOpt,500,181,165,181,36.200000,33.000000,36.200000,35.133333,1.847521,33.285812,36.980854
countdown,25,25,RandOpt,500,153,179,160,30.600000,35.800000,32.000000,32.800000,2.690725,30.109275,35.490725
countdown,25,50,RandOpt,500,163,178,174,32.600000,35.600000,34.800000,34.333333,1.553491,32.779843,35.886824
countdown,25,100,RandOpt,500,181,192,177,36.200000,38.400000,35.400000,36.666667,1.553491,35.113176,38.220157
countdown,25,200,RandOpt,500,183,191,176,36.600000,38.200000,35.200000,36.666667,1.501111,35.165556,38.167777
countdown,25,300,RandOpt,500,188,188,177,37.600000,37.600000,35.400000,36.866667,1.270171,35.596496,38.136837
countdown,25,25,Modular Norm RandOpt,500,139,138,158,27.800000,27.600000,31.600000,29.000000,2.253886,26.746114,31.253886
countdown,25,50,Modular Norm RandOpt,500,165,183,178,33.000000,36.600000,35.600000,35.066667,1.858315,33.208352,36.924981
countdown,25,100,Modular Norm RandOpt,500,172,204,191,34.400000,40.800000,38.200000,37.800000,3.218695,34.581305,41.018695
countdown,25,200,Modular Norm RandOpt,500,196,195,205,39.200000,39.000000,41.000000,39.733333,1.101514,38.631819,40.834847
countdown,25,300,Modular Norm RandOpt,500,186,191,204,37.200000,38.200000,40.800000,38.733333,1.858315,36.875019,40.591648
gsm8k,10,25,RandOpt,1319,882,871,884,66.868840,66.034875,67.020470,66.641395,0.530705,66.110690,67.172100
gsm8k,10,50,RandOpt,1319,896,881,866,67.930250,66.793025,65.655800,66.793025,1.137225,65.655800,67.930250
gsm8k,10,100,RandOpt,1319,894,892,870,67.778620,67.626990,65.959060,67.121557,1.009602,66.111954,68.131159
gsm8k,10,200,RandOpt,1319,917,899,881,69.522365,68.157695,66.793025,68.157695,1.364670,66.793025,69.522365
gsm8k,10,300,RandOpt,1319,908,916,881,68.840030,69.446550,66.793025,68.359869,1.390401,66.969467,69.750270
gsm8k,10,25,Modular Norm RandOpt,1319,926,934,948,70.204701,70.811221,71.872631,70.962851,0.844240,70.118610,71.807091
gsm8k,10,50,Modular Norm RandOpt,1319,940,946,940,71.266111,71.721001,71.266111,71.417741,0.262631,71.155110,71.680372
gsm8k,10,100,Modular Norm RandOpt,1319,947,942,927,71.796816,71.417741,70.280516,71.165024,0.789108,70.375916,71.954132
gsm8k,10,200,Modular Norm RandOpt,1319,955,947,951,72.403336,71.796816,72.100076,72.100076,0.303260,71.796816,72.403336
gsm8k,10,300,Modular Norm RandOpt,1319,965,960,960,73.161486,72.782411,72.782411,72.908769,0.218859,72.689910,73.127628
gsm8k,25,25,RandOpt,1319,886,868,875,67.172100,65.807430,66.338135,66.439222,0.687928,65.751294,67.127150
gsm8k,25,50,RandOpt,1319,898,892,890,68.081880,67.626990,67.475360,67.728077,0.315643,67.412434,68.043720
gsm8k,25,100,RandOpt,1319,906,890,899,68.688400,67.475360,68.157695,68.107152,0.608098,67.499054,68.715249
gsm8k,25,200,RandOpt,1319,915,898,893,69.370735,68.081880,67.702805,68.385140,0.874341,67.510799,69.259482
gsm8k,25,300,RandOpt,1319,913,906,893,69.219105,68.688400,67.702805,68.536770,0.769438,67.767332,69.306209
gsm8k,25,25,Modular Norm RandOpt,1319,947,945,943,71.796816,71.645186,71.493556,71.645186,0.151630,71.493556,71.796816
gsm8k,25,50,Modular Norm RandOpt,1319,951,966,954,72.100076,73.237301,72.327521,72.554966,0.601763,71.953203,73.156729
gsm8k,25,100,Modular Norm RandOpt,1319,955,971,969,72.403336,73.616376,73.464746,73.161486,0.660940,72.500546,73.822426
gsm8k,25,200,Modular Norm RandOpt,1319,962,975,967,72.934041,73.919636,73.313116,73.388931,0.497152,72.891779,73.886083
gsm8k,25,300,Modular Norm RandOpt,1319,961,975,966,72.858226,73.919636,73.237301,73.338388,0.537877,72.800511,73.876265
